epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,224.44,0.87546,0.60805,1.0385,0.83221,0.84328,0.87266,0.63468,0.97058,0.78427,1.10868,0.0017294,0.0017294,0.0017294
43,229.803,0.86953,0.6257,1.02356,0.87768,0.80318,0.88534,0.65092,0.88824,0.75116,1.08197,0.0017228,0.0017228,0.0017228
44,234.84,0.88464,0.6168,1.01984,0.87573,0.82836,0.87908,0.61735,0.97662,0.99927,1.13037,0.0017162,0.0017162,0.0017162
45,240.217,0.89935,0.63507,1.02569,0.88872,0.83582,0.90611,0.64664,1.01732,0.81083,1.16242,0.0017096,0.0017096,0.0017096
46,245.783,0.88892,0.60306,1.02483,0.91047,0.83478,0.9188,0.68295,0.91117,0.7119,1.08371,0.001703,0.001703,0.001703
47,250.465,0.8722,0.60713,1.02258,0.9139,0.79851,0.90611,0.67884,0.91566,0.65756,1.10015,0.0016964,0.0016964,0.0016964
48,255.314,0.85772,0.58961,1.02047,0.85584,0.88609,0.90867,0.69865,0.92481,0.68606,1.09997,0.0016898,0.0016898,0.0016898
49,260.394,0.84364,0.58057,1.01438,0.90624,0.85821,0.91847,0.69259,0.92955,0.70407,1.05576,0.0016832,0.0016832,0.0016832
50,266.545,0.8384,0.57288,1.00436,0.90395,0.88806,0.93555,0.72239,0.85908,0.57544,1.0306,0.0016766,0.0016766,0.0016766
51,272.449,0.84369,0.57525,0.99849,0.90447,0.85821,0.91799,0.6916,0.91229,0.65918,1.081,0.00167,0.00167,0.00167
52,278.329,0.82155,0.55787,0.99534,0.93197,0.81789,0.91998,0.69539,0.93639,0.65912,1.08746,0.0016634,0.0016634,0.0016634
53,283.684,0.81436,0.54193,1.0008,0.81484,0.85386,0.90617,0.67637,0.89039,0.68686,1.07491,0.0016568,0.0016568,0.0016568
54,289.112,0.81437,0.54091,0.99999,0.86943,0.82836,0.89609,0.66979,0.946,0.67065,1.08978,0.0016502,0.0016502,0.0016502
55,294.735,0.86563,0.56239,1.00644,0.91566,0.81343,0.89636,0.66831,0.90276,0.67925,1.09328,0.0016436,0.0016436,0.0016436
56,300.301,0.83254,0.56507,0.9975,0.83121,0.88806,0.89089,0.67342,0.93273,0.74318,1.11144,0.001637,0.001637,0.001637
57,305.599,0.82998,0.5601,0.99739,0.92911,0.78253,0.86629,0.62272,1.00664,0.71867,1.1425,0.0016304,0.0016304,0.0016304
58,311.008,0.81568,0.54859,0.99896,0.92456,0.85075,0.92677,0.68982,0.88291,0.6578,1.0743,0.0016238,0.0016238,0.0016238
59,316.092,0.8512,0.57743,1.01037,0.93955,0.8209,0.90476,0.66931,0.92521,0.845,1.09287,0.0016172,0.0016172,0.0016172
60,321.662,0.81875,0.56169,0.99441,0.96991,0.72162,0.84158,0.62061,0.99036,0.78345,1.11753,0.0016106,0.0016106,0.0016106
61,327.088,0.79344,0.54066,0.96845,0.91919,0.84885,0.90588,0.66592,0.93704,0.63272,1.08465,0.001604,0.001604,0.001604
62,332.284,0.81475,0.5518,0.9818,0.91292,0.86065,0.92742,0.70078,0.90032,0.66647,1.06251,0.0015974,0.0015974,0.0015974
63,337.45,0.82628,0.54859,1.00798,0.9396,0.85821,0.90999,0.68951,0.83921,0.63337,1.03626,0.0015908,0.0015908,0.0015908
64,343.472,0.80307,0.54953,0.98807,0.86248,0.8806,0.91504,0.69505,0.8598,0.60882,1.06036,0.0015842,0.0015842,0.0015842
65,349.056,0.77651,0.52838,0.98994,0.95173,0.8209,0.92364,0.71386,0.82683,0.61926,1.03579,0.0015776,0.0015776,0.0015776
66,354.41,0.81771,0.54752,0.98914,0.95671,0.8247,0.90282,0.69938,0.8521,0.65226,1.03305,0.001571,0.001571,0.001571
67,359.583,0.74956,0.52248,0.96697,0.92991,0.79204,0.90399,0.68473,0.86931,0.65768,1.04258,0.0015644,0.0015644,0.0015644
68,364.685,0.7413,0.51282,0.97408,0.91922,0.76866,0.84764,0.64193,0.89598,0.96311,1.08851,0.0015578,0.0015578,0.0015578
69,370.6,0.81147,0.53876,0.98451,0.93901,0.80433,0.89998,0.68079,0.9078,0.68633,1.07853,0.0015512,0.0015512,0.0015512
70,376.029,0.79791,0.52707,0.97951,0.89416,0.81961,0.88687,0.66661,0.90636,0.67178,1.07614,0.0015446,0.0015446,0.0015446
71,381.436,0.80006,0.54113,0.99151,0.93392,0.83582,0.90456,0.6937,0.84766,0.66363,1.0568,0.001538,0.001538,0.001538
72,386.594,0.7753,0.51078,0.96365,0.9136,0.86803,0.9264,0.70343,0.84198,0.61192,1.03852,0.0015314,0.0015314,0.0015314
73,391.955,0.77612,0.52351,0.97561,0.90584,0.86567,0.91641,0.71054,0.8178,0.58725,1.0249,0.0015248,0.0015248,0.0015248
74,397.347,0.76173,0.50278,0.97114,0.88611,0.90299,0.91046,0.67603,0.84332,0.6674,1.02606,0.0015182,0.0015182,0.0015182
