epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,26.2786,0.83223,0.89166,1.01484,0.64848,0.5,0.54995,0.42486,1.11822,1.82918,1.21592,0.000986206,0.000986206,0.000986206
43,26.8324,0.70023,0.80762,0.97077,0.52752,0.56944,0.54827,0.4005,1.13771,1.7671,1.24334,0.00099314,0.00099314,0.00099314
44,27.3805,0.75654,0.87822,1.02034,0.6634,0.55556,0.60457,0.42645,1.15967,1.67978,1.22296,0.000999282,0.000999282,0.000999282
45,27.9456,0.82986,0.8516,1.01367,0.66004,0.52778,0.59405,0.42839,1.12236,1.70358,1.21532,0.00100463,0.00100463,0.00100463
46,28.4938,0.73959,0.90208,0.98724,0.7974,0.54671,0.63021,0.44701,1.11417,1.63009,1.23292,0.00100919,0.00100919,0.00100919
47,29.1048,0.76395,0.8684,0.97315,0.76812,0.59812,0.63308,0.4463,1.16591,1.6205,1.27146,0.00101296,0.00101296,0.00101296
48,29.7049,0.80751,0.89392,1.00102,0.8016,0.59722,0.64506,0.46237,1.12585,1.60154,1.24959,0.00101593,0.00101593,0.00101593
49,30.2923,0.72169,0.83705,1.01397,0.84114,0.63889,0.66566,0.44592,1.16314,1.68914,1.28001,0.00101811,0.00101811,0.00101811
50,31.0159,0.74563,0.82589,0.97718,0.80785,0.625,0.64977,0.42579,1.11522,1.67371,1.24269,0.0010195,0.0010195,0.0010195
51,31.7056,0.70501,0.79271,0.95428,0.78981,0.56944,0.66638,0.43103,1.14655,1.65484,1.24244,0.00101,0.00101,0.00101
52,32.3149,0.75373,0.82135,1.00016,0.77033,0.61111,0.64639,0.42138,1.18537,1.6287,1.28242,0.0009902,0.0009902,0.0009902
53,32.8622,0.7819,0.89482,1.04528,0.81264,0.56944,0.6501,0.41091,1.22237,1.63957,1.31824,0.0009704,0.0009704,0.0009704
54,33.6048,0.74445,0.76495,0.96485,0.83424,0.55925,0.64487,0.40688,1.24113,1.57065,1.36869,0.0009506,0.0009506,0.0009506
55,34.2954,0.71567,0.79661,0.97097,0.82497,0.63889,0.68289,0.44957,1.22761,1.4901,1.40171,0.0009308,0.0009308,0.0009308
56,34.9024,0.70293,0.8189,0.97053,0.80834,0.65278,0.67575,0.45806,1.22022,1.42171,1.40661,0.000911,0.000911,0.000911
57,35.6261,0.71174,0.78725,0.98526,0.82169,0.61111,0.66449,0.45454,1.23807,1.42714,1.39219,0.0008912,0.0008912,0.0008912
58,36.41,0.67741,0.73455,0.9548,0.71336,0.68056,0.67029,0.45822,1.18163,1.362,1.32753,0.0008714,0.0008714,0.0008714
