epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,42.7888,0.80583,0.71308,0.99908,0.92252,0.68293,0.75216,0.53882,1.07422,1.26011,1.22857,0.0015941,0.0015941,0.0015941
43,43.6216,0.84496,0.69256,1.01517,0.98856,0.68293,0.76738,0.56179,1.02712,1.50216,1.16998,0.0015842,0.0015842,0.0015842
44,44.4642,0.81828,0.69275,1.01769,0.96862,0.70732,0.83143,0.60887,1.00656,1.22876,1.16714,0.0015743,0.0015743,0.0015743
45,45.3078,0.78816,0.67746,0.98293,0.9123,0.76123,0.84247,0.59107,1.02048,1.30174,1.18846,0.0015644,0.0015644,0.0015644
46,46.1426,0.80758,0.70133,0.9995,0.87443,0.73171,0.837,0.56231,0.99135,1.57851,1.17548,0.0015545,0.0015545,0.0015545
47,47.047,0.74077,0.62903,0.98651,0.91319,0.76989,0.84097,0.59565,0.94146,1.12298,1.1115,0.0015446,0.0015446,0.0015446
48,47.8811,0.76988,0.67032,0.98578,0.93513,0.78049,0.84276,0.59566,0.94961,0.8935,1.13366,0.0015347,0.0015347,0.0015347
49,48.6995,0.78608,0.63911,1.00031,0.98117,0.78049,0.85103,0.60298,0.95496,0.86959,1.14693,0.0015248,0.0015248,0.0015248
50,49.5269,0.70481,0.59613,0.95876,0.94277,0.80364,0.85964,0.65368,0.88238,0.77125,1.08921,0.0015149,0.0015149,0.0015149
51,50.3757,0.77582,0.65288,1.01118,0.9826,0.78049,0.82373,0.63219,0.86469,1.37722,1.05193,0.001505,0.001505,0.001505
52,51.2121,0.71879,0.62511,0.9528,0.96321,0.7561,0.83316,0.64834,0.90998,1.47632,1.09469,0.0014951,0.0014951,0.0014951
53,52.0441,0.72121,0.61536,0.97094,0.93994,0.76351,0.84979,0.652,0.86307,1.1746,1.08515,0.0014852,0.0014852,0.0014852
54,52.8726,0.71766,0.60562,0.97765,0.86827,0.80385,0.82996,0.66196,0.88262,1.00915,1.07956,0.0014753,0.0014753,0.0014753
55,53.7231,0.72011,0.57528,0.9772,0.90965,0.80488,0.86325,0.65483,0.91609,0.71171,1.09776,0.0014654,0.0014654,0.0014654
56,54.5549,0.76519,0.6391,1.02719,0.7966,0.85366,0.85551,0.61121,1.0141,0.67729,1.12666,0.0014555,0.0014555,0.0014555
57,55.3569,0.78936,0.6454,1.00356,0.86818,0.80321,0.87121,0.63185,0.97621,0.61958,1.14164,0.0014456,0.0014456,0.0014456
58,56.1953,0.76206,0.59616,0.99144,0.98032,0.7561,0.87124,0.63476,1.04571,0.65938,1.18787,0.0014357,0.0014357,0.0014357
59,57.0934,0.7238,0.57795,0.96159,0.93655,0.85366,0.88371,0.63216,0.96576,0.6759,1.13824,0.0014258,0.0014258,0.0014258
60,57.9698,0.72742,0.56616,0.9588,0.91315,0.82927,0.87262,0.63849,0.91229,0.72214,1.06803,0.0014159,0.0014159,0.0014159
61,58.7956,0.70003,0.57885,0.95723,0.9451,0.80488,0.86537,0.65752,0.91793,0.71985,1.06453,0.001406,0.001406,0.001406
62,59.6269,0.74334,0.57843,0.95771,0.94104,0.77864,0.8516,0.65482,0.9157,0.68666,1.07231,0.0013961,0.0013961,0.0013961
63,60.494,0.71783,0.5684,0.94582,0.86539,0.82927,0.86467,0.63965,0.92632,0.71759,1.10794,0.0013862,0.0013862,0.0013862
64,61.3082,0.70118,0.56614,0.9593,0.93307,0.82927,0.85502,0.64212,0.89916,0.7155,1.06351,0.0013763,0.0013763,0.0013763
65,62.125,0.64435,0.54178,0.94342,0.9386,0.82927,0.86561,0.67003,0.89103,0.64963,1.04864,0.0013664,0.0013664,0.0013664
66,62.9856,0.74864,0.57653,0.98547,0.9664,0.80488,0.89802,0.65177,0.92824,0.62784,1.0809,0.0013565,0.0013565,0.0013565
67,63.8263,0.72166,0.5835,0.97974,0.88208,0.85366,0.88009,0.6525,0.90497,0.72013,1.09451,0.0013466,0.0013466,0.0013466
68,64.6574,0.68632,0.55382,0.94321,0.89339,0.81775,0.87252,0.65149,0.89865,0.68693,1.07713,0.0013367,0.0013367,0.0013367
69,65.4631,0.67618,0.57464,0.95877,0.87492,0.85307,0.87347,0.65605,0.88943,0.66159,1.06342,0.0013268,0.0013268,0.0013268
70,66.3652,0.68203,0.54741,0.94845,0.93969,0.80488,0.87066,0.68605,0.84536,0.59078,1.03204,0.0013169,0.0013169,0.0013169
