epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,32.7198,0.79974,1.00449,1.02683,0.90713,0.65672,0.75554,0.55427,0.96244,1.19789,1.14132,0.0011882,0.0011882,0.0011882
43,33.387,0.71567,0.87122,0.99767,0.90713,0.65672,0.75554,0.55427,0.96244,1.19789,1.14132,0.0011684,0.0011684,0.0011684
44,34.0604,0.75593,0.9091,1.00286,0.84728,0.64179,0.72423,0.53946,1.00979,1.26209,1.17876,0.0011486,0.0011486,0.0011486
45,34.735,0.69297,0.85644,1.00687,0.91444,0.63816,0.72025,0.52052,1.07305,1.3623,1.23219,0.0011288,0.0011288,0.0011288
46,35.4106,0.81298,0.91023,1.05257,0.87447,0.62387,0.7202,0.5331,1.06706,1.4345,1.23649,0.001109,0.001109,0.001109
47,36.0291,0.72574,0.86432,0.98402,0.87447,0.62387,0.7202,0.5331,1.06706,1.4345,1.23649,0.0010892,0.0010892,0.0010892
48,36.6905,0.78805,0.89838,1.06509,0.88741,0.68657,0.72514,0.54381,1.06052,1.51004,1.25663,0.0010694,0.0010694,0.0010694
49,37.4216,0.68885,0.8126,0.95061,0.85244,0.68982,0.73305,0.53833,1.08317,1.69186,1.26883,0.0010496,0.0010496,0.0010496
50,38.0661,0.80724,0.91382,1.00875,0.79511,0.70149,0.71139,0.54672,1.05599,1.50033,1.22765,0.0010298,0.0010298,0.0010298
51,38.7114,0.70808,0.88226,0.99717,0.79511,0.70149,0.71139,0.54672,1.05599,1.50033,1.22765,0.00101,0.00101,0.00101
52,39.3706,0.73296,0.79994,0.9707,0.90799,0.67164,0.7084,0.55198,0.95011,1.22247,1.11324,0.0009902,0.0009902,0.0009902
53,40.0215,0.70405,0.88518,0.94152,0.8864,0.65672,0.69873,0.54826,0.96614,1.27349,1.10368,0.0009704,0.0009704,0.0009704
54,40.6732,0.68092,0.83797,0.99155,0.8806,0.6605,0.68883,0.54098,0.97453,1.2433,1.10115,0.0009506,0.0009506,0.0009506
55,41.3168,0.75629,0.87177,0.9998,0.8806,0.6605,0.68883,0.54098,0.97453,1.2433,1.10115,0.0009308,0.0009308,0.0009308
