epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,29.0378,0.91913,0.97113,1.06375,0.73964,0.64865,0.66198,0.47987,1.20322,1.85092,1.28763,0.0015941,0.0015941,0.0015941
43,29.6278,0.77254,0.89417,0.97041,0.717,0.65053,0.64948,0.46692,1.20331,1.80946,1.28397,0.0015842,0.0015842,0.0015842
44,30.2135,0.85085,0.89968,1.06022,0.70523,0.62162,0.61695,0.44904,1.3097,1.90801,1.32968,0.0015743,0.0015743,0.0015743
45,30.7684,0.91226,0.92463,1.04628,0.70523,0.62162,0.61695,0.44904,1.3097,1.90801,1.32968,0.0015644,0.0015644,0.0015644
46,31.4055,0.83922,0.90098,1.0221,0.60806,0.55405,0.50664,0.39018,1.21038,2.05756,1.29309,0.0015545,0.0015545,0.0015545
47,31.9683,0.78152,0.8877,1.01497,0.72504,0.24324,0.31869,0.23862,1.33205,2.52805,1.38114,0.0015446,0.0015446,0.0015446
48,32.5712,0.79694,0.8904,0.99005,0.80188,0.22973,0.28511,0.21576,1.27177,2.92959,1.37297,0.0015347,0.0015347,0.0015347
49,33.1307,0.84068,0.84918,1.00434,0.80188,0.22973,0.28511,0.21576,1.27177,2.92959,1.37297,0.0015248,0.0015248,0.0015248
50,33.7206,0.80334,0.84497,0.98732,0.66193,0.39189,0.42541,0.31228,1.26682,2.24108,1.37515,0.0015149,0.0015149,0.0015149
51,34.3051,0.8685,0.91551,1.06777,0.80489,0.47297,0.51277,0.33998,1.40939,1.95858,1.43474,0.001505,0.001505,0.001505
52,34.9141,0.81302,0.92657,1.0228,0.84374,0.54054,0.57537,0.3822,1.29398,1.64806,1.43423,0.0014951,0.0014951,0.0014951
53,35.4815,0.81432,0.8821,1.04701,0.84374,0.54054,0.57537,0.3822,1.29398,1.64806,1.43423,0.0014852,0.0014852,0.0014852
54,36.057,0.81494,0.8229,1.01573,0.81599,0.5993,0.63306,0.39032,1.47391,1.61818,1.60465,0.0014753,0.0014753,0.0014753
55,36.6267,0.83423,0.85694,1.00293,0.81267,0.64493,0.66707,0.40447,1.44335,1.68949,1.55099,0.0014654,0.0014654,0.0014654
56,37.1956,0.90999,0.87658,1.00442,0.8888,0.64806,0.72522,0.45895,1.35946,1.6172,1.52724,0.0014555,0.0014555,0.0014555
57,37.8148,0.8295,0.808,1.00088,0.8888,0.64806,0.72522,0.45895,1.35946,1.6172,1.52724,0.0014456,0.0014456,0.0014456
